Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"SDG dimnikarstvo, kemično čiščenje toplotnih naprav in gradbene storitve, d.o.o.","SDG dimnikarstvo, kemično čiščenje toplotnih naprav in gradbene storitve, d.o.o.",,"Prešernova cesta 7 A, 1230 Domžale",", SDG dimnikarstvo, kemično čiščenje toplotnih naprav in gradbene storitve, d.o.o."
"EPPS Elektronsko pismo Pošte Slovenije, d.o.o.","EPPS Elektronsko pismo Pošte Slovenije, d.o.o.",,"Stegne 13 A, 1000 Ljubljana",", EPPS Elektronsko pismo Pošte Slovenije, d.o.o."
"ORTODONTIJA, ZOBOZDRAVSTVO VRBIČ d.o.o.","ORTODONTIJA, ZOBOZDRAVSTVO VRBIČ d.o.o.",,"Cesta v Mestni log 55, 1000 Ljubljana",", ORTODONTIJA, ZOBOZDRAVSTVO VRBIČ d.o.o."
CSO ORMOŽ center za starejše občane d.o.o.,CSO ORMOŽ center za starejše občane d.o.o.,,"Ulica dr. Hrovata 10 A, 2270 Ormož",", CSO ORMOŽ center za starejše občane d.o.o."
FEBRIS zdravniške usluge in svetovanje d.o.o.,FEBRIS zdravniške usluge in svetovanje d.o.o.,,"Kolodvorska cesta 24, 6257 Pivka",", FEBRIS zdravniške usluge in svetovanje d.o.o."
"ANDREJC nizke gradnje, urejanje okolja d.o.o.","ANDREJC nizke gradnje, urejanje okolja d.o.o.",,"Topolšica 199 B, 3325 Šoštanj",", ANDREJC nizke gradnje, urejanje okolja d.o.o."
AMBULANTA KOŠIR d.o.o.,AMBULANTA KOŠIR d.o.o.,,"Podlubnik 307, 4220 Škofja Loka",", AMBULANTA KOŠIR d.o.o."
"SOLINE Pridelava soli, d.o.o.","SOLINE Pridelava soli, d.o.o.",,"Seča 115, 6320 Portorož - Portorose",", SOLINE Pridelava soli, d.o.o."
"METODA trgovina, storitve, posredovanje, turizem d.o.o.","METODA trgovina, storitve, posredovanje, turizem d.o.o.",,"Ulica Janeza Pavla II. 14 A, 1000 Ljubljana",", METODA trgovina, storitve, posredovanje, turizem d.o.o."
"FEMINA CENTER medicinsko svetovanje, specialistična oskrba in pregledi d.o.o., Ljubljana","FEMINA CENTER medicinsko svetovanje, specialistična oskrba in pregledi d.o.o., Ljubljana",,"Gasparijeva ulica 11, 1000 Ljubljana",", FEMINA CENTER medicinsko svetovanje, specialistična oskrba in pregledi d.o.o., Ljubljana"
EUROSPLET družba za storitve in organizacijo d.o.o.,EUROSPLET družba za storitve in organizacijo d.o.o.,,"Partizanska cesta 3, 2390 Ravne na Koroškem",", EUROSPLET družba za storitve in organizacijo d.o.o."
"DENTART d.o.o., zobozdravstvena dejavnost","DENTART d.o.o., zobozdravstvena dejavnost",,"Petkovškovo nabrežje 57, 1000 Ljubljana",", DENTART d.o.o., zobozdravstvena dejavnost"
VETERINARSKA BOLNICA IN LEKARNIŠKA POSTAJA LENART d.o.o.,VETERINARSKA BOLNICA IN LEKARNIŠKA POSTAJA LENART d.o.o.,,"Gradiška cesta 6, 2230 Lenart v Slov. goricah",", VETERINARSKA BOLNICA IN LEKARNIŠKA POSTAJA LENART d.o.o."
PADMA DM zdravstvena dejavnost d.o.o.,PADMA DM zdravstvena dejavnost d.o.o.,,"Gregorčičeva ulica 4, 3000 Celje",", PADMA DM zdravstvena dejavnost d.o.o."
"ICJ družba za poslovanje z nepremičninami, inženiring in poslovno svetovanje, d.o.o. - v stečaju","ICJ družba za poslovanje z nepremičninami, inženiring in poslovno svetovanje, d.o.o. - v stečaju",,"Ljubljanska cesta 62, 1230 Domžale",", ICJ družba za poslovanje z nepremičninami, inženiring in poslovno svetovanje, d.o.o. - v stečaju"
PODJETNIŠKI CENTER SLOVENJ GRADEC svetovanje in razvoj d.o.o.,PODJETNIŠKI CENTER SLOVENJ GRADEC svetovanje in razvoj d.o.o.,,"Ronkova ulica 4, 2380 Slovenj Gradec",", PODJETNIŠKI CENTER SLOVENJ GRADEC svetovanje in razvoj d.o.o."
NASMEH ZOBOZDRAVSTVO zobozdravstvene storitve d.o.o.,NASMEH ZOBOZDRAVSTVO zobozdravstvene storitve d.o.o.,,"Kandijska cesta 62, 8000 Novo mesto",", NASMEH ZOBOZDRAVSTVO zobozdravstvene storitve d.o.o."
"IT EKSPERT, proizvodnja, trgovina, posredništvo in svetovanje, d.o.o.","IT EKSPERT, proizvodnja, trgovina, posredništvo in svetovanje, d.o.o.",,"Litijska cesta 259, 1261 Ljubljana - Dobrunje",", IT EKSPERT, proizvodnja, trgovina, posredništvo in svetovanje, d.o.o."
