Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
LOVSKA DRUŽINA LIBELIČE,LOVSKA DRUŽINA LIBELIČE,,"Črneška Gora 11, 2370 Dravograd",", LOVSKA DRUŽINA LIBELIČE"
LOVSKA DRUŽINA BABNO POLJE,LOVSKA DRUŽINA BABNO POLJE,,"Babno Polje 3, 1386 Stari trg pri Ložu",", LOVSKA DRUŽINA BABNO POLJE"
LOVSKA DRUŽINA JELENK SPODNJA IDRIJA,LOVSKA DRUŽINA JELENK SPODNJA IDRIJA,,"Na Vasi 36, 5281 Spodnja Idrija",", LOVSKA DRUŽINA JELENK SPODNJA IDRIJA"
LOVSKA DRUŽINA ČRNA JAMA POSTOJNA,LOVSKA DRUŽINA ČRNA JAMA POSTOJNA,,"Zagon 3 B, 6230 Postojna",", LOVSKA DRUŽINA ČRNA JAMA POSTOJNA"
RIBIŠKA DRUŽINA KOPER,RIBIŠKA DRUŽINA KOPER,,"Cesta na Rižano 30, 6276 Pobegi",", RIBIŠKA DRUŽINA KOPER"
LOVSKA DRUŽINA TIŠINA,LOVSKA DRUŽINA TIŠINA,,"Tišina 4, 9251 Tišina",", LOVSKA DRUŽINA TIŠINA"
RIBIŠKA DRUŽINA SOTLA,RIBIŠKA DRUŽINA SOTLA,,"Vonarje 13, 3253 Pristava pri Mestinju",", RIBIŠKA DRUŽINA SOTLA"
LOVSKA DRUŽINA PODSREDA,LOVSKA DRUŽINA PODSREDA,,"Podsreda 6, 3257 Podsreda",", LOVSKA DRUŽINA PODSREDA"
"DOMPLAN, družba za inženiring, nepremičnine, urbanizem in energetiko, d.d.","DOMPLAN, družba za inženiring, nepremičnine, urbanizem in energetiko, d.d.",,"Bleiweisova cesta 14, 4000 Kranj",", DOMPLAN, družba za inženiring, nepremičnine, urbanizem in energetiko, d.d."
ODVETNIŠKA ZBORNICA SLOVENIJE V LJUBLJANI,ODVETNIŠKA ZBORNICA SLOVENIJE V LJUBLJANI,,"Pražakova ulica 8, 1000 Ljubljana",", ODVETNIŠKA ZBORNICA SLOVENIJE V LJUBLJANI"
Gospodarska zbornica Slovenije,Gospodarska zbornica Slovenije,,"Dimičeva ulica 13, 1000 Ljubljana",", Gospodarska zbornica Slovenije"
"PETROL, Slovenska energetska družba, d.d., Ljubljana","PETROL, Slovenska energetska družba, d.d., Ljubljana",,"Dunajska cesta 50, 1000 Ljubljana",", PETROL, Slovenska energetska družba, d.d., Ljubljana"
"PLINARNA MARIBOR družba za proizvodnjo, distribucijo energentov, trgovino in storitve d.o.o.","PLINARNA MARIBOR družba za proizvodnjo, distribucijo energentov, trgovino in storitve d.o.o.",,"Plinarniška ulica 9, 2000 Maribor",", PLINARNA MARIBOR družba za proizvodnjo, distribucijo energentov, trgovino in storitve d.o.o."
