Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"JAVNO PODJETJE KOMUNALA ZAGORJE, d.o.o.","JAVNO PODJETJE KOMUNALA ZAGORJE, d.o.o.",,"Cesta zmage 57, 1410 Zagorje ob Savi",", JAVNO PODJETJE KOMUNALA ZAGORJE, d.o.o."
"KOMUNALA NOVO MESTO d.o.o., javno podjetje","KOMUNALA NOVO MESTO d.o.o., javno podjetje",,"Podbevškova ulica 12, 8000 Novo mesto",", KOMUNALA NOVO MESTO d.o.o., javno podjetje"
KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.,KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.,,"Ulica Pohorskega bataljona 12, 2310 Slovenska Bistrica",", KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o."
"HYDROVOD d.o.o., družba za komunalno dejavnost","HYDROVOD d.o.o., družba za komunalno dejavnost",,"Ljubljanska cesta 38, 1330 Kočevje",", HYDROVOD d.o.o., družba za komunalno dejavnost"
"Komunala Tolmin, javno podjetje, d.o.o.","Komunala Tolmin, javno podjetje, d.o.o.",,"Poljubinj 89 H, 5220 Tolmin",", Komunala Tolmin, javno podjetje, d.o.o."
JAVNO KOMUNALNO PODJETJE LOG d.o.o.,JAVNO KOMUNALNO PODJETJE LOG d.o.o.,,"Dobja vas 187, 2390 Ravne na Koroškem",", JAVNO KOMUNALNO PODJETJE LOG d.o.o."
Javno podjetje Energetika Maribor d.o.o.,Javno podjetje Energetika Maribor d.o.o.,,"Jadranska cesta 28, 2000 Maribor",", Javno podjetje Energetika Maribor d.o.o."
"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.",,"Celjska cesta 12, 3250 Rogaška Slatina",", OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o."
"JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o.","JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o.",,"Ponoviška cesta 15, 1270 Litija",", JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o."
JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.,JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.,,"Cesta na Krko 7, 1290 Grosuplje",", JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o."
Javno podjetje KOMUNALA Idrija d.o.o.,Javno podjetje KOMUNALA Idrija d.o.o.,,"Carl Jakoba ulica 4, 5280 Idrija",", Javno podjetje KOMUNALA Idrija d.o.o."
"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.",,"Industrijska cesta 8, 6310 Izola - Isola",", JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l."
KOMUNALA METLIKA javno podjetje d.o.o.,KOMUNALA METLIKA javno podjetje d.o.o.,,"Cesta XV. brigade 4, 8330 Metlika",", KOMUNALA METLIKA javno podjetje d.o.o."
"RUDNIK ŽIROVSKI VRH, javno podjetje za zapiranje rudnika urana, d.o.o.","RUDNIK ŽIROVSKI VRH, javno podjetje za zapiranje rudnika urana, d.o.o.",,"Todraž 1, 4224 Gorenja vas",", RUDNIK ŽIROVSKI VRH, javno podjetje za zapiranje rudnika urana, d.o.o."
KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina,KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina,,"Goriška cesta 23 B, 5270 Ajdovščina",", KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina"
JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o.,JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o.,,"Meža 143, 2370 Dravograd",", JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o."
"JAVNO PODJETJE KOMUNALA, d.o.o. Mozirje","JAVNO PODJETJE KOMUNALA, d.o.o. Mozirje",,"Praprotnikova ulica 36, 3330 Mozirje",", JAVNO PODJETJE KOMUNALA, d.o.o. Mozirje"
"KOMUNALNO PODJETJE VELENJE Izvajanje komunalnih dejavnosti, d.o.o","KOMUNALNO PODJETJE VELENJE Izvajanje komunalnih dejavnosti, d.o.o",,"Koroška cesta 37 B, 3320 Velenje",", KOMUNALNO PODJETJE VELENJE Izvajanje komunalnih dejavnosti, d.o.o"
"JAVNO PODJETJE LJUBLJANSKI POTNIŠKI PROMET, d.o.o.","JAVNO PODJETJE LJUBLJANSKI POTNIŠKI PROMET, d.o.o.",,"Celovška cesta 160, 1000 Ljubljana",", JAVNO PODJETJE LJUBLJANSKI POTNIŠKI PROMET, d.o.o."
JAVNO PODJETJE ENERGETIKA LJUBLJANA d.o.o.,JAVNO PODJETJE ENERGETIKA LJUBLJANA d.o.o.,,"Verovškova ulica 62, 1000 Ljubljana",", JAVNO PODJETJE ENERGETIKA LJUBLJANA d.o.o."
JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.,JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.,,"Savska cesta 34, 1230 Domžale",", JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o."
JAVNO PODJETJE CENTRALNA ČISTILNA NAPRAVA DOMŽALE - KAMNIK d.o.o.,JAVNO PODJETJE CENTRALNA ČISTILNA NAPRAVA DOMŽALE - KAMNIK d.o.o.,,"Študljanska cesta 91, 1230 Domžale",", JAVNO PODJETJE CENTRALNA ČISTILNA NAPRAVA DOMŽALE - KAMNIK d.o.o."
JAVNO PODJETJE KOMUNALNA ENERGETIKA Nova Gorica d.o.o.,JAVNO PODJETJE KOMUNALNA ENERGETIKA Nova Gorica d.o.o.,,"Sedejeva ulica 7, 5000 Nova Gorica",", JAVNO PODJETJE KOMUNALNA ENERGETIKA Nova Gorica d.o.o."
KOMUNALA TREBNJE d.o.o.,KOMUNALA TREBNJE d.o.o.,,"Goliev trg 9, 8210 Trebnje",", KOMUNALA TREBNJE d.o.o."
JAVNO PODJETJE KOMUNALA RADEČE d.o.o.,JAVNO PODJETJE KOMUNALA RADEČE d.o.o.,,"Titova ulica 107, 1433 Radeče",", JAVNO PODJETJE KOMUNALA RADEČE d.o.o."
SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.,SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.,,"Noršinska ulica 12, 9000 Murska Sobota",", SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o."
"ARAO - Agencija za radioaktivne odpadke, Ljubljana Prevod firme: ARAO - Agency for Radwaste Management, Ljubljana","ARAO - Agencija za radioaktivne odpadke, Ljubljana Prevod firme: ARAO - Agency for Radwaste Management, Ljubljana",,"Celovška cesta 182, 1000 Ljubljana",", ARAO - Agencija za radioaktivne odpadke, Ljubljana Prevod firme: ARAO - Agency for Radwaste Management, Ljubljana"
"Javno podjetje Ljubljanska parkirišča in tržnice, d.o.o.","Javno podjetje Ljubljanska parkirišča in tržnice, d.o.o.",,"Kopitarjeva ulica 2, 1000 Ljubljana",", Javno podjetje Ljubljanska parkirišča in tržnice, d.o.o."
"KOMUNALA VITANJE, javno podjetje d.o.o.,","KOMUNALA VITANJE, javno podjetje d.o.o.,",,"Grajski trg 6, 3205 Vitanje",", KOMUNALA VITANJE, javno podjetje d.o.o.,"
JAVNO PODJETJE PLINOVOD SEVNICA,JAVNO PODJETJE PLINOVOD SEVNICA,,"Trg svobode 9, 8290 Sevnica",", JAVNO PODJETJE PLINOVOD SEVNICA"
"Javno podjetje Komunalno podjetje Logatec, d.o.o.","Javno podjetje Komunalno podjetje Logatec, d.o.o.",,"Tržaška cesta 27, 1370 Logatec",", Javno podjetje Komunalno podjetje Logatec, d.o.o."
"JAVNI HOLDING LJUBLJANA, d.o.o., družba za izvajanje strokovnih in razvojnih nalog na področju gospodarskih javnih služb","JAVNI HOLDING LJUBLJANA, d.o.o., družba za izvajanje strokovnih in razvojnih nalog na področju gospodarskih javnih služb",,"Verovškova ulica 70, 1000 Ljubljana",", JAVNI HOLDING LJUBLJANA, d.o.o., družba za izvajanje strokovnih in razvojnih nalog na področju gospodarskih javnih služb"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","SIMBIO, družba za ravnanje z odpadki d.o.o.",,"Teharska cesta 49, 3000 Celje",", SIMBIO, družba za ravnanje z odpadki d.o.o."
"ENERGETIKA CELJE javno podjetje, d.o.o.","ENERGETIKA CELJE javno podjetje, d.o.o.",,"Smrekarjeva ulica 1, 3000 Celje",", ENERGETIKA CELJE javno podjetje, d.o.o."
"VODOVOD - KANALIZACIJA javno podjetje, d.o.o.","VODOVOD - KANALIZACIJA javno podjetje, d.o.o.",,"Lava 2 A, 3000 Celje",", VODOVOD - KANALIZACIJA javno podjetje, d.o.o."
"JEKO - IN, javno komunalno podjetje, d.o.o., Jesenice","JEKO - IN, javno komunalno podjetje, d.o.o., Jesenice",,"Cesta maršala Tita 51, 4270 Jesenice",", JEKO - IN, javno komunalno podjetje, d.o.o., Jesenice"
JAVNO KOMUNALNO PODJETJE BREZOVICA d.o.o.,JAVNO KOMUNALNO PODJETJE BREZOVICA d.o.o.,,"Kamnik pod Krimom 6, 1352 Preserje",", JAVNO KOMUNALNO PODJETJE BREZOVICA d.o.o."
Javno podjetje Komunala Brežice d.o.o.,Javno podjetje Komunala Brežice d.o.o.,,"Cesta prvih borcev 18, 8250 Brežice",", Javno podjetje Komunala Brežice d.o.o."
"KOCEROD, družba za ravnanje z odpadki d.o.o.","KOCEROD, družba za ravnanje z odpadki d.o.o.",,"Mislinjska Dobrava 108 A, 2383 Šmartno pri Slovenj Gradcu",", KOCEROD, družba za ravnanje z odpadki d.o.o."
Javno podjetje VODOVOD SISTEMA B d.o.o.,Javno podjetje VODOVOD SISTEMA B d.o.o.,,"Kopališka ulica 2, 9000 Murska Sobota",", Javno podjetje VODOVOD SISTEMA B d.o.o."
