Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
RAFOT - BERLOT MARIJA - ZDRAVNIK - SPLOŠNA MEDICINA,RAFOT - BERLOT MARIJA - ZDRAVNIK - SPLOŠNA MEDICINA,,"Ulica Pohorskega bataljona 11, 2317 Oplotnica",", RAFOT - BERLOT MARIJA - ZDRAVNIK - SPLOŠNA MEDICINA"
METLIČAR ANTON - DOKTOR STOMATOLOGIJE,METLIČAR ANTON - DOKTOR STOMATOLOGIJE,,"Ulica tolminskih puntarjev 4, 5000 Nova Gorica",", METLIČAR ANTON - DOKTOR STOMATOLOGIJE"
ŠTERBENK VLASTA - ZASEBNA ZOBNA AMBULANTA,ŠTERBENK VLASTA - ZASEBNA ZOBNA AMBULANTA,,"Vodnikova cesta 1, 3320 Velenje",", ŠTERBENK VLASTA - ZASEBNA ZOBNA AMBULANTA"
LEVAK - HOZJAN SONJA - ZASEBNA GINEKOLOŠKA AMBULANTA,LEVAK - HOZJAN SONJA - ZASEBNA GINEKOLOŠKA AMBULANTA,,"Vodnikova cesta 1, 3320 Velenje",", LEVAK - HOZJAN SONJA - ZASEBNA GINEKOLOŠKA AMBULANTA"
ZASEBNI VIŠJI FIZIOTERAPEVT SREČKO PLEŠNIK,ZASEBNI VIŠJI FIZIOTERAPEVT SREČKO PLEŠNIK,,"Pirešica 11 A, 3320 Velenje",", ZASEBNI VIŠJI FIZIOTERAPEVT SREČKO PLEŠNIK"
COLARIĆ MARJAN - ZDRAVNIK SPLOŠNE MEDICINE,COLARIĆ MARJAN - ZDRAVNIK SPLOŠNE MEDICINE,,"Bistriška cesta 62, 2319 Poljčane",", COLARIĆ MARJAN - ZDRAVNIK SPLOŠNE MEDICINE"
JANEŽIČ IVAN - ZASEBNA ZOBNA AMBULANTA,JANEŽIČ IVAN - ZASEBNA ZOBNA AMBULANTA,,"Efenkova cesta 61, 3320 Velenje",", JANEŽIČ IVAN - ZASEBNA ZOBNA AMBULANTA"
ŠINIGOJ BARBARA - LEKARNAR,ŠINIGOJ BARBARA - LEKARNAR,,"Ulica Gradnikove brigade 47, 5000 Nova Gorica",", ŠINIGOJ BARBARA - LEKARNAR"
AMBROŽIČ - KOROŠEC ANDREJA - DEJAVNOST ZOBOZDRAVSTVA ODRASLIH,AMBROŽIČ - KOROŠEC ANDREJA - DEJAVNOST ZOBOZDRAVSTVA ODRASLIH,,"Cesta bratov Mravljakov 13, 3320 Velenje",", AMBROŽIČ - KOROŠEC ANDREJA - DEJAVNOST ZOBOZDRAVSTVA ODRASLIH"
BRIŠNIK MARIJA - LEKARNAR,BRIŠNIK MARIJA - LEKARNAR,,"Vransko 130 D, 3305 Vransko",", BRIŠNIK MARIJA - LEKARNAR"
LOVRIČ TATJANA - LEKARNAR,LOVRIČ TATJANA - LEKARNAR,,"Ulica Vinka Vodopivca 7, 5000 Nova Gorica",", LOVRIČ TATJANA - LEKARNAR"
KRUŠIČ - GREGORČIČ VESNA - DOKTOR STOMATOLOGIJE,KRUŠIČ - GREGORČIČ VESNA - DOKTOR STOMATOLOGIJE,,"Ulica Gradnikove brigade 7, 5000 Nova Gorica",", KRUŠIČ - GREGORČIČ VESNA - DOKTOR STOMATOLOGIJE"
ŠUSTER DARINKA - ZASEBNA ZOBNA ORDINACIJA,ŠUSTER DARINKA - ZASEBNA ZOBNA ORDINACIJA,,"Stanetova cesta 27, 3320 Velenje",", ŠUSTER DARINKA - ZASEBNA ZOBNA ORDINACIJA"
"VARSTVENO DELOVNI CENTER MUC, SRETO ZELEN S.P.","VARSTVENO DELOVNI CENTER MUC, SRETO ZELEN S.P.",,"Preserje 16 B, 3314 Braslovče",", VARSTVENO DELOVNI CENTER MUC, SRETO ZELEN S.P."
"PRODAJA SADJA IN ZELENJAVE, DIMNIKARSTVO BRANKO LUK S.P.","PRODAJA SADJA IN ZELENJAVE, DIMNIKARSTVO BRANKO LUK S.P.",,"Male Žablje 69, 5263 Dobravlje",", PRODAJA SADJA IN ZELENJAVE, DIMNIKARSTVO BRANKO LUK S.P."
"BUBA veterinarska ambulanta, d.o.o. Grosuplje","BUBA veterinarska ambulanta, d.o.o. Grosuplje",,"Rožna dolina 5, 1290 Grosuplje",", BUBA veterinarska ambulanta, d.o.o. Grosuplje"
VETERINARSKA AMBULANTA d.o.o. KOPER,VETERINARSKA AMBULANTA d.o.o. KOPER,,"Istrska cesta 13, 6000 Koper - Capodistria",", VETERINARSKA AMBULANTA d.o.o. KOPER"
VETERINARSKA AMBULANTA d.o.o. ILIRSKA BISTRICA,VETERINARSKA AMBULANTA d.o.o. ILIRSKA BISTRICA,,"Vilharjeva cesta 6, 6250 Ilirska Bistrica",", VETERINARSKA AMBULANTA d.o.o. ILIRSKA BISTRICA"
"FIZIOTERAPIJA, NATAŠA BERŠNAK S.P.","FIZIOTERAPIJA, NATAŠA BERŠNAK S.P.",,"Glavni trg 27, 8290 Sevnica",", FIZIOTERAPIJA, NATAŠA BERŠNAK S.P."
"PANVITA, VETERINA d.o.o.","PANVITA, VETERINA d.o.o.",,"Lendavska ulica 5, 9000 Murska Sobota",", PANVITA, VETERINA d.o.o."
VP PREVALJE veterinarska postaja d.o.o.,VP PREVALJE veterinarska postaja d.o.o.,,"Pri postaji 9, 2391 Prevalje",", VP PREVALJE veterinarska postaja d.o.o."
